Time,Position
0,-1
0.001,-0.999950017
0.002,-0.99980014
0.003,-0.999550484
0.004,-0.999201173
0.005,-0.998752342
0.006,-0.998204134
0.007,-0.997556704
0.008,-0.996810217
0.009,-0.995964846
0.01,-0.995020774
0.011,-0.993978194
0.012,-0.992837308
0.013,-0.99159833
0.014,-0.99026148
0.015,-0.988826991
0.016,-0.987295104
0.017,-0.985666068
0.018,-0.983940143
0.019,-0.982117599
0.02,-0.980198715
0.021,-0.978183779
0.022,-0.976073089
0.023,-0.973866951
0.024,-0.97156568
0.025,-0.969169603
0.026,-0.966679053
0.027,-0.964094373
0.028,-0.961415916
0.029,-0.958644043
0.03,-0.955779126
0.031,-0.952821542
0.032,-0.949771681
0.033,-0.946629939
0.034,-0.943396722
0.035,-0.940072445
0.036,-0.936657532
0.037,-0.933152413
0.038,-0.92955753
0.039,-0.925873332
0.04,-0.922100275
0.041,-0.918238827
0.042,-0.914289461
0.043,-0.91025266
0.044,-0.906128914
0.045,-0.901918724
0.046,-0.897622595
0.047,-0.893241044
0.048,-0.888774593
0.049,-0.884223775
0.05,-0.879589127
0.051,-0.874871198
0.052,-0.870070541
0.053,-0.86518772
0.054,-0.860223303
0.055,-0.85517787
0.056,-0.850052005
0.057,-0.844846302
0.058,-0.839561359
0.059,-0.834197786
0.06,-0.828756197
0.061,-0.823237214
0.062,-0.817641465
0.063,-0.811969587
0.064,-0.806222223
0.065,-0.800400022
0.066,-0.794503641
0.067,-0.788533744
0.068,-0.782491
0.069,-0.776376087
0.07,-0.770189688
0.071,-0.763932491
0.072,-0.757605194
0.073,-0.751208498
0.074,-0.744743114
0.075,-0.738209755
0.076,-0.731609144
0.077,-0.724942006
0.078,-0.718209074
0.079,-0.711411088
0.08,-0.704548792
0.081,-0.697622934
0.082,-0.690634273
0.083,-0.683583567
0.084,-0.676471586
0.085,-0.6692991
0.086,-0.662066887
0.087,-0.65477573
0.088,-0.647426416
0.089,-0.640019738
0.09,-0.632556493
0.091,-0.625037485
0.092,-0.617463519
0.093,-0.609835409
0.094,-0.60215397
0.095,-0.594420025
0.096,-0.586634397
0.097,-0.578797918
0.098,-0.570911421
0.099,-0.562975744
0.1,-0.55499173
0.101,-0.546960225
0.102,-0.53888208
0.103,-0.530758147
0.104,-0.522589286
0.105,-0.514376357
0.106,-0.506120225
0.107,-0.497821759
0.108,-0.489481831
0.109,-0.481101315
0.11,-0.47268109
0.111,-0.464222037
0.112,-0.45572504
0.113,-0.447190986
0.114,-0.438620765
0.115,-0.430015271
0.116,-0.421375398
0.117,-0.412702045
0.118,-0.403996111
0.119,-0.3952585
0.12,-0.386490117
0.121,-0.377691868
0.122,-0.368864663
0.123,-0.360009413
0.124,-0.351127031
0.125,-0.342218433
0.126,-0.333284533
0.127,-0.324326252
0.128,-0.315344509
0.129,-0.306340224
0.13,-0.297314321
0.131,-0.288267723
0.132,-0.279201355
0.133,-0.270116143
0.134,-0.261013013
0.135,-0.251892894
0.136,-0.242756714
0.137,-0.233605402
0.138,-0.224439889
0.139,-0.215261104
0.14,-0.206069977
0.141,-0.196867441
0.142,-0.187654426
0.143,-0.178431864
0.144,-0.169200685
0.145,-0.159961822
0.146,-0.150716204
0.147,-0.141464764
0.148,-0.132208431
0.149,-0.122948136
0.15,-0.113684808
0.151,-0.104419375
0.152,-0.095152768
0.153,-0.085885911
0.154,-0.076619733
0.155,-0.067355158
0.156,-0.058093111
0.157,-0.048834515
0.158,-0.039580291
0.159,-0.030331362
0.16,-0.021088645
0.161,-0.011853059
0.162,-0.002625519
0.163,0.006593061
0.164,0.015801768
0.165,0.024999691
0.166,0.034185922
0.167,0.043359555
0.168,0.052519685
0.169,0.06166541
0.17,0.070795831
0.171,0.07991005
0.172,0.089007172
0.173,0.098086305
0.174,0.10714656
0.175,0.11618705
0.176,0.125206891
0.177,0.134205203
0.178,0.143181107
0.179,0.152133729
0.18,0.161062198
0.181,0.169965644
0.182,0.178843203
0.183,0.187694014
0.184,0.196517218
0.185,0.205311962
0.186,0.214077395
0.187,0.22281267
0.188,0.231516944
0.189,0.240189379
0.19,0.248829139
0.191,0.257435393
0.192,0.266007314
0.193,0.274544081
0.194,0.283044874
0.195,0.291508881
0.196,0.299935292
0.197,0.308323303
0.198,0.316672113
0.199,0.324980927
0.2,0.333248955
0.201,0.341475412
0.202,0.349659516
0.203,0.357800491
0.204,0.365897568
0.205,0.37394998
0.206,0.381956968
0.207,0.389917777
0.208,0.397831656
0.209,0.405697863
0.21,0.413515659
0.211,0.42128431
0.212,0.429003089
0.213,0.436671275
0.214,0.444288152
0.215,0.45185301
0.216,0.459365145
0.217,0.466823858
0.218,0.474228457
0.219,0.481578257
0.22,0.488872578
0.221,0.496110745
0.222,0.503292092
0.223,0.510415958
0.224,0.517481688
0.225,0.524488633
0.226,0.531436153
0.227,0.538323612
0.228,0.545150381
0.229,0.551915841
0.23,0.558619374
0.231,0.565260374
0.232,0.571838239
0.233,0.578352375
0.234,0.584802194
0.235,0.591187116
0.236,0.597506568
0.237,0.603759983
0.238,0.609946803
0.239,0.616066474
0.24,0.622118454
0.241,0.628102205
0.242,0.634017196
0.243,0.639862906
0.244,0.64563882
0.245,0.651344429
0.246,0.656979234
0.247,0.662542743
0.248,0.668034471
0.249,0.67345394
0.25,0.678800681
0.251,0.684074232
0.252,0.68927414
0.253,0.694399958
0.254,0.699451248
0.255,0.70442758
0.256,0.709328531
0.257,0.714153686
0.258,0.71890264
0.259,0.723574993
0.26,0.728170356
